Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Apple Watch Series 10 GPS + Cellular 46mm Silver Alumin...,748.75,46,,Apple,Watch Series 10 GPS + Cellular 46mm Silver Aluminium with Blue Cloud Sport Loop,watchOS 11,32,1/29/2025 2:27
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",17.4875,45,,Unknown,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android and ios,32,1/29/2025 2:27
"Fire-Boltt Lumos 48.5mm (1.91 inch) Display, BT Call, S...",18.7375,48.5,,Unknown,"Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes",Android and ios,32,1/29/2025 2:27
"boAt Enigma Z20, 1.51 inch HD Display,BT Calling,Sturdy...",31.2375,45,,Unknown,"Enigma Z20, 1.51 inch HD Display,BT Calling,Sturdy & Luxurious Metal Body Design",iOS 9 and Above | Android 6 and Above,32,1/29/2025 2:27
"Cellecor BLAZE 2.01"" AMOLED Display | 900 NITS| AOD| BT...",14.9875,45,,Unknown,"BLAZE 2.01"" AMOLED Display | 900 NITS| AOD| BT-Calling| AI Voice| SplitScreen",Android and ios,32,1/29/2025 2:27
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",17.4875,45,,Unknown,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android and ios,32,1/29/2025 2:27
Data not available,19.9875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:27
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:28
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:28
Yash Enterprises T800 Ultra SmartWatch Infinite Display...,6.15,45,,Yash Enterprises,"T800 Ultra SmartWatch Infinite Display, BT Calling, Rotating Crown","Android 6.0 and above, iOS 13.0 and above",256,1/29/2025 2:28
"Fire-Boltt Retro 39.1mm (1.54) Display, Bluetooth call,...",24.9875,39.1,,Unknown,"Retro 39.1mm (1.54) Display, Bluetooth call, Voice Assistance, Steel Straps",Android and ios,32,1/29/2025 2:28
"OnePlus Watch 2 with Wear OS 4, Snapdragon W5 Chipset &...",287.4875,45,,Unknown,"Watch 2 with Wear OS 4, Snapdragon W5 Chipset & Up to 100 hours battery",Android and ios,32,1/29/2025 2:28
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",14.975,45,,Unknown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android and ios,32,1/29/2025 2:28
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",17.4875,45,,Unknown,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android and ios,32,1/29/2025 2:28
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Wo...,29.3625,45,,Fastrack,Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crown|BT Calling|Fast Charge,Android and ios,32,1/29/2025 2:28
"boAt Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nit...",14.9875,45,,Unknown,"Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness",Android 6.0 & iOS 12.0 and above,32,1/29/2025 2:28
"Pebble Axis 1.96"" Amoled Display, Quick Notification, A...",31.2375,45,,Unknown,"Axis 1.96"" Amoled Display, Quick Notification, AOD, BT Calling, Rotating Crown",Android and ios,32,1/29/2025 2:28
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",21.2375,45,,Unknown,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android and ios,32,1/29/2025 2:28
Data not available,27.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:28
Yash Enterprises New S8 ULTRA 4G Smart Watch T800 Ultra...,6.15,45,,Yash Enterprises,New S8 ULTRA 4G Smart Watch T800 Ultra,Android and ios,32,1/29/2025 2:28
Yash Enterprises T800 Ultra 8 Watch With pods Bluetooth...,7.1,45,,Yash Enterprises,T800 Ultra 8 Watch With pods Bluetooth Call Fitness Bracelet Magnetic Charging,Android and ios,16,1/29/2025 2:28
SAMSUNG Galaxy Watch7 44mm BT,406.2375,44,,Samsung,Galaxy Watch7 44mm BT,Android,32,1/29/2025 2:28
