Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",1399.0,1.83,7 Days,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android & iOS,,16.788
,1599.0,,,,,,19.188
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
Yash Enterprises T800 Ultra SmartWatch Infinite Display...,492.0,69.0,Upto 10 days,"T800 Ultra SmartWatch Infinite Display, BT Calling, Rotating Crown",Android & iOS,256.0,5.904
"Fire-Boltt Retro 39.1mm (1.54) Display, Bluetooth call,...",1999.0,39.116,Upto 5 days based upon usage,"Retro 39.1mm (1.54) Display, Bluetooth call, Voice Assistance, Steel Straps",Android & iOS,,23.988
"OnePlus Watch 2 with Wear OS 4, Snapdragon W5 Chipset &...",22999.0,36.32,Upto 12 Days,"Watch 2 with Wear OS 4, Snapdragon W5 Chipset & Up to 100 hours battery",Android,,275.988
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",1198.0,49.53,Upto 5 Days,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android & iOS,,14.376
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",1399.0,1.69,Upto 7 Days,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Wo...,2349.0,1.97,Upto 5 Days,Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crown|BT Calling|Fast Charge,Android & iOS,,28.188
"boAt Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nit...",1199.0,1.69,Upto 7 days,"Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness",Android & iOS,,14.388
"Pebble Axis 1.96"" Amoled Display, Quick Notification, A...",2499.0,49.784,"Up to 5 Days without BT Calling & AOD off, Up to 1 day with BT Calling & AOD On","Axis 1.96"" Amoled Display, Quick Notification, AOD, BT Calling, Rotating Crown",Android & iOS,,29.988
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",1699.0,35.306,Up to 7 Days,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android & iOS,,20.388
,2199.0,,,,,,26.388
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
Yash Enterprises New S8 ULTRA 4G Smart Watch T800 Ultra...,492.0,49.0,3 Days,New S8 ULTRA 4G Smart Watch T800 Ultra,Android & iOS,,5.904
Yash Enterprises T800 Ultra 8 Watch With pods Bluetooth...,568.0,44.0,2 Days Max after all things used but Normal 5 Days Battery run Proper,T800 Ultra 8 Watch With pods Bluetooth Call Fitness Bracelet Magnetic Charging,Android & iOS,16.0,6.816
SAMSUNG Galaxy Watch7 44mm BT,32499.0,44.0,Up to 100 hrs,Galaxy Watch7 44mm BT,Android,32.0,389.988
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",1198.0,49.53,Upto 5 Days,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android & iOS,,14.376
