Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
ASUS GeForce RTX 4070,128.6,ASUS,11.0,GDDR5,GeForce RTX 4070,DisplayPort 1.4; HDMI 2.0b
EVGA GeForce RTX 2080,1480.0,EVGA,11.0,GDDR6,GeForce RTX 2080,DisplayPort; DVI; HDMI
EVGA GeForce RTX 2080,196.9,EVGA,4.0,GDDR5,GeForce RTX 2080,DisplayPort; DVI; HDMI
EVGA NVIDIA,128.6,EVGA,8.0,GDDR5,NVIDIA,DisplayPort; DVI; HDMI
EVGA NVIDIA,146.2,EVGA,8.0,GDDR5,NVIDIA,DisplayPort; DVI; HDMI
ZOTAC zotac gaming geforce rtx 3080 trinity lhr 384bit 19 gbps 40,1776.4,ZOTAC,8.0,GDDR5,NVIDIA,DisplayPort; DVI; HDMI
ZOTAC NVIDIA,220.8,ZOTAC,8.0,GDDR5,NVIDIA,DisplayPort; DVI; HDMI
ZOTAC NVIDIA,51.7,ZOTAC,1.0,GDDR5,NVIDIA,HDMI
ZOTAC NVIDIA,128.0,ZOTAC,8.0,GDDR5,NVIDIA,HDMI
ASUS asus radeon rx 7600 evo edition 40 8 gb,381.4,ASUS,8.0,GDDR6,NVIDIA,HDMI
EVGA GeForce RTX 2080,1167.1,EVGA,8.0,GDDR6,GeForce RTX 2080,VGA
EVGA GeForce RTX 2080,146.9,EVGA,4.0,GDDR6,GeForce RTX 2080,VGA
ASUS GeForce GTX 1650,2243244.3,ASUS,4.0,GDDR5,GeForce GTX 1650,VGA
ZOTAC GeForce RTX 3050,244.8,ZOTAC,6.0,GDDR6,GeForce RTX 3050,VGA
PNY pny geforce rtx 4080 super xlr8 gaming verto epicx rgb fan,2053.9,PNY,16.0,GDDR6,GeForce RTX  4080,VGA
PNY GeForce RTX  4080,74.3,PNY,1.0,GDDR6,GeForce RTX  4080,VGA
