Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Card GPU Magnetic Support Bracket Holder Brace NVIDIA GPU AMD GPU UK,$5.50 ,COOLMOON,N/A,N/A,NVIDIA GeForce RTX 3080,N/A,2/1/2025 17:56
"Galax Nvidia P104-100 8GB Mining GPU (GTX 1080 Hashrate) | Fast Ship, US Seller!",$39.94/ea,Galax,8 GB,GDDR5X,P104-100,N/A,2/1/2025 17:56
AMD FirePro W2100 2GB DDR3 Graphics Card - 2x DisplayPort,$8.00 ,AMD,2 GB,DDR3,AMD FirePro W2100,DisplayPort,2/1/2025 17:56
GIGABYTE Radeon RX 7600 XT 16GB Gaming OC GDDR6 Video Graphics Card GPU,$324.99 ,GIGABYTE,16GB,GDDR6,AMD Radeon RX 7600 XT,HDMI,2/1/2025 17:56
SFF DUAL MATROX G550 32MB AGP G55MADDA32DB GRAPHICS CARD WITH DVI/VGA SPLITTER,GBP 15.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
ASUS TUF GeForce RTX 3070 OC 8GB GDDR6 Graphics Card,$270.00 ,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/1/2025 17:56
Yamaha V6355D-F 8 bit ISA MGA CGA Video Graphics Card NEW OLD STOCK,$19.90 ,Yamaha,N/A,N/A,V6355D-F,"Composite (RCA), D-Sub",2/1/2025 17:56
XFX AMD Radeon RX 590 8GB 2304sp GDDR5 Graphics Card,$95.14 ,XFX,8 GB,DDR5,AMD Radeon RX 590,"DisplayPort, DVI, HDMI",2/1/2025 17:56
MSI NVIDIA GeForce RTX 2080 GAMING X TRIO 8GB GDDR6 Graphics Card,$225.00 ,MSI,8GB,GDDR6,NVIDIA GeForce RTX 2080,"DisplayPort, HDCP, HDMI",2/1/2025 17:56
EVGA XC3 Ultra Gaming Geforce RTX 3070 Graphics Card 8GB GDDR6 GPU - US Seller,US $310.00/ea,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
VisionTek ATI Radeon HD 2600XT Graphics Card S-Video 2*DVI AGP,$30.00 ,VisionTek,N/A,N/A,Radeon HD 2600XT,N/A,2/1/2025 17:56
Dell Precision 7520 Video Graphics Card nVIDIA Quadro M2200 4GB 7024K 07024K,$69.95/ea,Dell,4 GB,N/A,nVIDIA Quadro M2200,N/A,2/1/2025 17:56
*Updated* - RX 580 8gb GPU - 2048SP - recycled - Now New standard PC I/O Bracket,US $34.56/ea,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
EVGA GeForce RTX 3060 Ti XC Gaming 8GB GDDR6 Graphics Card USED WORKS GOOD,$60.00 ,EVGA,8 GB,GDDR6,NVIDIA GeForce RTX 3060 Ti,"DisplayPort, HDCP, HDMI",2/1/2025 17:56
PowerColor Red Devil AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card,US $169.95,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
AMD Radeon RX 6700XT Reference 12GB GDDR6 Graphics Card,US $264.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
64bit 1GB GeForce GT730 DDR3 DVI VGA HDMI Output Interface PCI-E Graphics Card,$21.64 ,Unbranded,N/A,N/A,/,N/A,2/1/2025 17:56
Mint AMD Radeon RX 6800 Graphics Card GPU 100-438378  16 GB Video Card Open Box,$355.00 ,AMD,16 GB,GDDR6,AMD Radeon RX 6800,"DisplayPort, HDMI, USB-C",2/1/2025 17:56
AMD Radeon Instinct MI60 32GB HBM2 Graphics Accelerator Mining Card 80MH @ 160W,US $499.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
AMD Radeon R5 340X 2GB GDDR3 Graphics Card DisplayPort DVI,$23.00 ,AMD,2 GB,GDDR3,AMD Radeon R5 340X,DisplayPort,2/1/2025 17:56
ASRock Radeon RX 6600 8GB PCI Express 4.0 Video Graphics Card CLD 8G GPU,US $198.99,ASRock,8 GB,GDDR6,AMD Radeon RX 6600,N/A,2/1/2025 17:56
SAPPHIRE PULSE Radeon RX 7800 XT 16GB GDDR6 PCIe 4.0 ATX Graphics Card GPU,$502.99 ,SAPPHIRE,16 GB,GDDR6,Radeon RX 7800 XT,"HDMI, DisplayPort",2/1/2025 17:56
HP Radeon RX 5500 4GB Single Fan GDDR6 L66151-001 Video Graphics Card GPU,US $69.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
GIGABYTE RADEON R9 290 WINDFORCE 4GBGV-R929WF3-4GD GDDR5 Graphics Card,$62.17 ,GIGABYTE,4 GB,GDDR5,GV-R929WF3-4GD,"DisplayPort, DVI, HDMI",2/1/2025 17:56
Graphics Card Jaton JAX 8241 S3 805 VL-Bus 1MB DRAM VL41C/V2 KY2-JAX-SVGA805 VGA,US $89.90,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
MSI GeForce GTX 1660 Ti VENTUS XS OC Graphics Card (G1660TVXS6C),$74.00 ,MSI,6GB,GDDR6,NVIDIA GeForce GTX 1660 Ti,HDMI,2/1/2025 17:56
SAPPHIRE AMD Pulse Radeon RX 580 8GB GDDR5 GPU Full HD Gaming Graphics Card,$85.00 ,SAPPHIRE,8 GB,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2/1/2025 17:56
HP Radeon RX 6500 XT 8GB N23060-001 Video Graphics Card,$149.99 ,HP,8 GB,N/A,AMD RX 6500 XT,N/A,2/1/2025 17:56
AMD Radeon E9173 2GB GDDR5 Dell W6F74 PCI-e Low Profile Video Graphics Card,$21.98 ,AMD,2 GB,GDDR5,AMD Radeon E9173,N/A,2/1/2025 17:56
RB AMD Radeon Pro WX9100 16GB HBM2 PCIe Video Graphics Card 6x Mini DisplayPort,US $299.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
NVIDIA Quadro RTX A2000 6GB GDDR6 Graphics Card HP P/N: M48380-002 Tested GradeA,$299.99 ,HP,6 GB,GDDR6,NVIDIA Quadro RTX A2000,Mini DisplayPort,2/1/2025 17:56
HP NVIDIA GTX 1660 SUPER 6GB Graphics Card - PARTS ONLY,$20.00 ,Graphics,6 GB,GDDR6,NVIDIA GeForce GTX 1660,N/A,2/1/2025 17:56
RX 580 8gb,$57.00 ,Showkings,8 GB,GDDR5,AMD Radeon RX 580,"HDMI, DisplayPort",2/1/2025 17:56
PNY NVIDIA RTX A1000 VCNRTXA1000ATX-PB 8 GB GDDR6 low-profile Graphics Card,US $439.99,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
NVIDIA GeForce RTX 4060 8GB - Fresh Pull from New PC - Open Box,$264.95 ,Geforce,8 GB,GDDR6,NVIDIA GeForce RTX 4060 8GB,N/A,2/1/2025 17:56
MSI GeForce RTX 3050 VENTUS 2X 8G OC 8GB GDDR6 Video Card,$189.00 ,MSI,8 GB,GDDR6,NVIDIA® GeForce RTX™ 3050,"DisplayPort, HDMI",2/1/2025 17:56
NVIDIA QUADRO RTX 4000 8GB GDDR6 Turing Workstation Graphics Card,$320.00 ,NVIDIA,8GB,GDDR6,NVIDIA Quadro 4000,USB-C,2/1/2025 17:56
